,Scheme Name,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y
0,IDBI India Top 100 Equity Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-1%,9%,1%,27%,25%,22%,16%
1,UTI Mastershare Unit Scheme - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-2%,9%,0%,22%,24%,21%,17%
2,Invesco India Largecap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-1%,10%,1%,29%,24%,20%,17%
3,Edelweiss Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-1%,7%,1%,19%,22%,19%,17%
4,LIC MF Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-2%,9%,0%,20%,19%,19%,15%
5,IDFC Large Cap - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-1%,9%,1%,20%,23%,19%,16%
6,JM Large Cap Fund - (Direct) - GrowthLarge Cap Fund,3%,-2%,-2%,8%,0%,19%,22%,16%,13%
7,Canara Robeco Bluechip Equity Fund - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-2%,7%,1%,19%,25%,23%,19%
8,Kotak Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-2%,7%,0%,22%,23%,21%,16%
9,Union Largecap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-4%,-5%,7%,-2%,19%,22%,18%,-
10,Axis Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,3%,-4%,-4%,5%,-2%,16%,19%,20%,20%
11,Sundaram Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-2%,7%,1%,22%,-,-,-
12,Mirae Asset Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-2%,7%,0%,20%,23%,19%,17%
13,Tata Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-1%,8%,2%,24%,22%,19%,15%
14,Aditya Birla Sun Life Frontline Equity Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-2%,7%,1%,21%,23%,18%,14%
15,Franklin India Bluechip Fund - Direct - GrowthLarge Cap Fund,2%,-2%,-4%,5%,0%,19%,24%,18%,13%
16,SBI Blue Chip Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-3%,6%,0%,17%,22%,20%,15%
17,BNP Paribas Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-2%,7%,2%,18%,21%,21%,17%
18,Navi Large Cap Equity Fund - Direct Plan - GrowthLarge Cap Fund,2%,-3%,-2%,6%,-1%,21%,21%,19%,14%
19,ICICI Prudential Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,2%,0%,0%,10%,2%,23%,24%,20%,16%
20,HSBC Large Cap Equity Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-1%,8%,1%,16%,21%,19%,15%
21,Baroda Large Cap Fund - Plan B (Direct) - GrowthLarge Cap Fund,3%,-2%,-3%,4%,0%,17%,20%,17%,13%
22,Nippon India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,1%,0%,11%,3%,26%,22%,17%,16%
23,L&T India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-3%,6%,0%,18%,19%,18%,14%
24,Taurus Largecap Equity Fund - Direct Plan - GrowthLarge Cap Fund,2%,0%,-2%,4%,2%,14%,16%,13%,10%
25,PGIM India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-3%,3%,0%,15%,19%,17%,14%
26,DSP Top 100 Equity Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-3%,1%,0%,14%,14%,16%,11%
27,Indiabulls Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-3%,7%,2%,16%,16%,15%,14%
28,HDFC Top 100 Fund - Direct Plan - GrowthLarge Cap Fund,2%,0%,-1%,9%,3%,19%,21%,15%,13%
29,BOI AXA Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,3%,-4%,-4%,4%,-2%,-,-,-,-
30,BOI AXA Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,3%,-4%,-4%,4%,-2%,-,-,-,-
31,ITI Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-3%,7%,0%,15%,-,-,-
32,ITI Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-3%,7%,0%,15%,-,-,-
33,Mahindra Manulife Large Cap Pragati Yojana - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-2%,8%,1%,23%,24%,-,-
34,Sundaram Large Cap Fund - Direct Plan - Growth (Adjusted NAV)Large Cap Fund,-,-,-,-,-,-,-,-,-
